trialType,task1,task2,participant,age,scriptDate,startTime,endTime,refreshRate,fixationFrames,fixationS,trialNo,blockType,task,targetFrames,targetS,blockNumber,elapsedTime,resp,choice,rt,iti,responseTTL,overallTrialNum,keypress,acc,creditsEarned,dotMotion_effortLevel,dotMotion_nDots,dotMotion_coherence,dotMotion_dotFrames,dotMotion_speed,dotMotion_dotDirections,dotMotion_resp,dotMotion_rt,dotMotion_acc
1_2,1,2,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-19-48,60,90,1.5,1,dotMotionDST,dotMotionDST,180,10800,1,348.278697013855,left,1.0,1.1701171398162842,0.5,250.0,1,left,1,0,1.0,100.0,0.05,3.0,0.01,270.0,left,1.8031210899353027,0.0
0_1,0,1,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-19-56,60,90,1.5,2,dotMotionDST,dotMotionDST,180,10800,1,355.99603509902954,left,0.0,0.8700320720672607,0.45,250.0,2,left,1,0,0.0,10.0,0.05,3.0,0.01,270.0,right,2.1867449283599854,0.0
1_2,1,2,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-20-04,60,90,1.5,3,dotMotionDST,dotMotionDST,180,10800,1,364.19616198539734,left,1.0,0.8551170825958252,0.55,250.0,3,left,1,0,1.0,100.0,0.05,3.0,0.01,270.0,up,2.6179730892181396,0.0
0_2,2,0,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-20-13,60,90,1.5,4,dotMotionDST,dotMotionDST,180,10800,1,373.1643829345703,left,2.0,0.9203708171844482,0.45,251.0,4,left,1,0,2.0,500.0,0.05,3.0,0.01,0.0,right,2.3382699489593506,1.0
0_2,2,0,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-20-21,60,90,1.5,5,dotMotionDST,dotMotionDST,180,10800,1,381.58111596107483,left,2.0,0.620189905166626,0.5,251.0,5,left,1,0,2.0,500.0,0.05,3.0,0.01,0.0,up,2.734848976135254,0.0
1_2,1,2,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-20-30,60,90,1.5,6,dotMotionDST,dotMotionDST,180,10800,1,390.2655770778656,right,2.0,0.8037400245666504,0.6,251.0,6,right,1,0,2.0,500.0,0.05,3.0,0.01,90.0,down,2.384803056716919,0.0
0_2,2,0,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-20-38,60,90,1.5,7,dotMotionDST,dotMotionDST,180,10800,1,398.2835750579834,right,0.0,0.5342130661010742,0.4,250.0,7,right,1,0,0.0,10.0,0.05,3.0,0.01,180.0,left,1.2214691638946533,1.0
0_1,0,1,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-20-45,60,90,1.5,8,dotMotionDST,dotMotionDST,180,10800,1,405.00087904930115,left,0.0,0.46770381927490234,0.55,250.0,8,left,1,0,0.0,10.0,0.05,3.0,0.01,270.0,up,2.118942975997925,0.0
0_2,2,0,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-20-52,60,90,1.5,9,dotMotionDST,dotMotionDST,180,10800,1,412.73428416252136,right,0.0,0.553800106048584,0.8,250.0,9,right,1,0,0.0,10.0,0.05,3.0,0.01,180.0,left,2.6852052211761475,1.0
0_1,0,1,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-21-01,60,90,1.5,10,dotMotionDST,dotMotionDST,180,10800,1,421.1846489906311,left,0.0,0.48486804962158203,0.7,250.0,10,left,1,0,0.0,10.0,0.05,3.0,0.01,90.0,right,1.4526009559631348,0.0
